"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 20 18:21:58 GMT 2022","Sun Feb 20 18:21:58 GMT 2022","181","test  suite1","","","","","ProdTest)Create invalid booking",""
"failed","Sun Feb 20 18:21:57 GMT 2022","Sun Feb 20 18:21:57 GMT 2022","190","test  suite4","","","","","(ProdTest)Get specific valid ID",""
"passed","Sun Feb 20 18:21:59 GMT 2022","Sun Feb 20 18:21:59 GMT 2022","170","test  suite3","","","","","Delete booking - non-existent",""
"failed","Sun Feb 20 18:21:54 GMT 2022","Sun Feb 20 18:21:55 GMT 2022","25","test  suite5","","","","","Partial update booking - firstname & lastname",""
"passed","Sun Feb 20 18:21:57 GMT 2022","Sun Feb 20 18:21:57 GMT 2022","177","test  suite4","","","","","(ProdTest) Get specific invalid ID",""
"failed","Sun Feb 20 18:21:58 GMT 2022","Sun Feb 20 18:21:58 GMT 2022","10","test  suite6","","","","","Update booking - valid",""
"failed","Sun Feb 20 18:21:58 GMT 2022","Sun Feb 20 18:21:58 GMT 2022","2","test  suite6","","","","","Update booking - non-existent",""
"failed","Sun Feb 20 18:21:55 GMT 2022","Sun Feb 20 18:21:56 GMT 2022","186","test  suite5","","","","","Get booking ID by existent firstname and lastname",""
"failed","Sun Feb 20 18:21:55 GMT 2022","Sun Feb 20 18:21:55 GMT 2022","2","test  suite5","","","","","Partial update booking - additional needs",""
"passed","Sun Feb 20 18:21:56 GMT 2022","Sun Feb 20 18:21:56 GMT 2022","177","test  suite5","","","","","Get booking ID - empty checkin date header",""
"passed","Sun Feb 20 18:21:57 GMT 2022","Sun Feb 20 18:21:57 GMT 2022","176","test  suite2","","","","","Create token - invalid password",""
"failed","Sun Feb 20 18:21:55 GMT 2022","Sun Feb 20 18:21:55 GMT 2022","2","test  suite5","","","","","Partial update booking - total price & deposit paid",""
"failed","Sun Feb 20 18:21:55 GMT 2022","Sun Feb 20 18:21:55 GMT 2022","3","test  suite5","","","","","Partial update booking - checkin & checkout date",""
"passed","Sun Feb 20 18:21:57 GMT 2022","Sun Feb 20 18:21:57 GMT 2022","178","test  suite4","","","","","(ProdTest) Get specific valid ID without Accept header",""
"failed","Sun Feb 20 18:21:55 GMT 2022","Sun Feb 20 18:21:55 GMT 2022","270","test  suite5","","","","","Get all IDs",""
"passed","Sun Feb 20 18:21:58 GMT 2022","Sun Feb 20 18:21:59 GMT 2022","183","test  suite3","","","","","Delete booking - valid",""
"passed","Sun Feb 20 18:21:58 GMT 2022","Sun Feb 20 18:21:58 GMT 2022","181","test  suite1","","","","","ProdTest)Create valid booking",""
"failed","Sun Feb 20 18:21:55 GMT 2022","Sun Feb 20 18:21:55 GMT 2022","198","test  suite5","","","","","Get booking ID by existent firstname",""
"passed","Sun Feb 20 18:21:56 GMT 2022","Sun Feb 20 18:21:56 GMT 2022","190","test  suite2","","","","","(ProdTest):Create token - valid",""
"passed","Sun Feb 20 18:21:56 GMT 2022","Sun Feb 20 18:21:57 GMT 2022","176","test  suite2","","","","","(ProdTest):Create token - invalid username",""
"passed","Sun Feb 20 18:21:56 GMT 2022","Sun Feb 20 18:21:56 GMT 2022","175","test  suite5","","","","","Get booking ID - empty checkout date header",""
"failed","Sun Feb 20 18:21:55 GMT 2022","Sun Feb 20 18:21:55 GMT 2022","2","test  suite5","","","","","Partial update booking - non-existent booking",""
"failed","Sun Feb 20 18:21:55 GMT 2022","Sun Feb 20 18:21:55 GMT 2022","180","test  suite5","","","","","Get booking ID by existent lastname",""
