"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 17 14:56:23 IST 2022","Thu Feb 17 14:56:24 IST 2022","831","test  suite5","","","","","Get booking ID - empty checkout date header",""
"passed","Thu Feb 17 14:56:21 IST 2022","Thu Feb 17 14:56:21 IST 2022","770","test  suite4","","","","","Get specific invalid ID",""
"failed","Thu Feb 17 14:56:22 IST 2022","Thu Feb 17 14:56:22 IST 2022","780","test  suite5","","","","","Get booking ID by existent firstname and lastname",""
"failed","Thu Feb 17 14:56:21 IST 2022","Thu Feb 17 14:56:22 IST 2022","737","test  suite5","","","","","Get booking ID by existent lastname",""
"passed","Thu Feb 17 14:56:21 IST 2022","Thu Feb 17 14:56:21 IST 2022","700","test  suite2","","","","","Create token - invalid password",""
"failed","Thu Feb 17 14:56:19 IST 2022","Thu Feb 17 14:56:19 IST 2022","3","test  suite5","","","","","Partial update booking - checkin & checkout date",""
"failed","Thu Feb 17 14:56:19 IST 2022","Thu Feb 17 14:56:20 IST 2022","1078","test  suite5","","","","","Get all IDs",""
"failed","Thu Feb 17 14:56:20 IST 2022","Thu Feb 17 14:56:21 IST 2022","772","test  suite5","","","","","Get booking ID by existent firstname",""
"passed","Thu Feb 17 14:56:20 IST 2022","Thu Feb 17 14:56:21 IST 2022","732","test  suite1","","","","","ProdTest)Create invalid booking",""
"failed","Thu Feb 17 14:56:19 IST 2022","Thu Feb 17 14:56:19 IST 2022","2","test  suite5","","","","","Partial update booking - total price & deposit paid",""
"failed","Thu Feb 17 14:56:19 IST 2022","Thu Feb 17 14:56:19 IST 2022","3","test  suite6","","","","","Update booking - non-existent",""
"passed","Thu Feb 17 14:56:19 IST 2022","Thu Feb 17 14:56:20 IST 2022","1024","test  suite3","","","","","Delete booking - valid",""
"failed","Thu Feb 17 14:56:19 IST 2022","Thu Feb 17 14:56:20 IST 2022","1053","test  suite4","","","","","Get specific valid ID",""
"passed","Thu Feb 17 14:56:19 IST 2022","Thu Feb 17 14:56:20 IST 2022","1034","test  suite2","","","","","(ProdTest):Create token - valid",""
"passed","Thu Feb 17 14:56:19 IST 2022","Thu Feb 17 14:56:20 IST 2022","1054","test  suite1","","","","","DevTest)Create valid booking",""
"passed","Thu Feb 17 14:56:22 IST 2022","Thu Feb 17 14:56:23 IST 2022","833","test  suite5","","","","","Get booking ID - empty checkin date header",""
"passed","Thu Feb 17 14:56:20 IST 2022","Thu Feb 17 14:56:21 IST 2022","732","test  suite3","","","","","Delete booking - non-existent",""
"failed","Thu Feb 17 14:56:19 IST 2022","Thu Feb 17 14:56:19 IST 2022","18","test  suite5","","","","","Partial update booking - firstname & lastname",""
"failed","Thu Feb 17 14:56:19 IST 2022","Thu Feb 17 14:56:19 IST 2022","2","test  suite5","","","","","Partial update booking - non-existent booking",""
"failed","Thu Feb 17 14:56:19 IST 2022","Thu Feb 17 14:56:19 IST 2022","26","test  suite6","","","","","Update booking - valid",""
"failed","Thu Feb 17 14:56:19 IST 2022","Thu Feb 17 14:56:19 IST 2022","2","test  suite5","","","","","Partial update booking - additional needs",""
"passed","Thu Feb 17 14:56:20 IST 2022","Thu Feb 17 14:56:21 IST 2022","734","test  suite2","","","","","(DevTest):Create token - invalid username",""
"passed","Thu Feb 17 14:56:20 IST 2022","Thu Feb 17 14:56:21 IST 2022","696","test  suite4","","","","","Get specific valid ID without Accept header",""
